sbc_location,type,location_id,description,program_code,program_desc,ministry_client,resp_code,service_line_code,stob_code,project_code,merchant_id
61,Bank,20061,100 MILE HOUSE,70,SERVICE BC                              ,74,32H61,58200,1461,3200000,999999999
61,Amex,20861,100 MILE HOUSE AMEX POS,503,SERVICE BC AMEX POS                     ,74,32H61,58200,1461,3200000,23591041
61,Debit,20261,100 MILE HOUSE DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32H61,58200,1461,3200000,22054353
61,Mastercard,20461,100 MILE HOUSE MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32H61,58200,1461,3200000,22054353
61,Visa,20661,100 MILE HOUSE-VISA POS,1339,SERVICE BC VISA POS                     ,74,32H61,58200,1461,3200000,22054353
01,Bank,20100,HAZELTON,70,SERVICE BC                              ,74,32J01,58200,1461,3200000,999999999
01,Amex,20800,HAZELTON AMEX POS,503,SERVICE BC AMEX POS                     ,74,32J01,58200,1461,3200000,23591645
01,Debit,20300,HAZELTON DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32J01,58200,1461,3200000,22043448
01,Mastercard,20500,HAZELTON MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32J01,58200,1461,3200000,22043448
01,Visa,20700,HAZELTON-VISA POS,1339,SERVICE BC VISA POS                     ,74,32J01,58200,1461,3200000,22043448
02,Bank,20002,ASHCROFT,70,SERVICE BC                              ,74,32G02,58200,1461,3200000,999999999
02,Amex,20801,ASHCROFT AMEX POS,503,SERVICE BC AMEX POS                     ,74,32G02,58200,1461,3200000,23591066
02,Debit,20202,ASHCROFT DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32G02,58200,1461,3200000,22054387
02,Mastercard,20201,ASHCROFT MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32G02,58200,1461,3200000,22054387
02,Visa,20602,ASHCROFT-VISA POS,1339,SERVICE BC VISA POS                     ,74,32G02,58200,1461,3200000,22054387
03,Bank,20003,ATLIN,70,SERVICE BC                              ,74,32J03,58200,1461,3200000,999999999
03,Amex,20803,ATLIN AMEX POS,503,SERVICE BC AMEX POS                     ,74,32J03,58200,1461,3200000,23591074
03,Mastercard,20403,ATLIN MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32J03,58200,1461,3200000,22054486
03,Debit,20203,ATLIN-DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32J03,58200,1461,3200000,22054486
03,Visa,20603,ATLIN-VISA POS,1339,SERVICE BC VISA POS                     ,74,32J03,58200,1461,3200000,22054486
08,Bank,20008,BELLA COOLA,70,SERVICE BC                              ,74,32H08,58200,1461,3200000,999999999
08,Amex,20808,BELLA COOLA AMEX POS,503,SERVICE BC AMEX POS                     ,74,32H08,58200,1461,3200000,23591082
08,Debit,20208,BELLA COOLA DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32H08,58200,1461,3200000,22054577
08,Mastercard,20408,BELLA COOLA MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32H08,58200,1461,3200000,22054577
08,Visa,20608,BELLA COOLA-VISA POS,1339,SERVICE BC VISA POS                     ,74,32H08,58200,1461,3200000,22054577
10,Amex,20303,BURNABY AMEX POS,503,SERVICE BC AMEX POS                     ,74,32L10,58200,1461,3200000,28624979
10,Debit,20304,BURNABY DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32L10,58200,1461,3200000,23684779
10,Mastercard,20302,BURNABY MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32L10,58200,1461,3200000,23684779
10,Visa,20301,BURNABY-VISA POS,1339,SERVICE BC VISA POS                     ,74,32L10,58200,1461,3200000,23684779
11,Bank,20011,BURNS LAKE,70,SERVICE BC                              ,74,32J11,58200,1461,3200000,999999999
11,Amex,20811,BURNS LAKE AMEX POS,503,SERVICE BC AMEX POS                     ,74,32J11,58200,1461,3200000,23591090
11,Debit,20211,BURNS LAKE DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32J11,58200,1461,3200000,22042705
11,Mastercard,20411,BURNS LAKE MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32J11,58200,1461,3200000,22042705
11,Visa,20611,BURNS LAKE-VISA POS,1339,SERVICE BC VISA POS                     ,74,32J11,58200,1461,3200000,22042705
12,Bank,20012,CAMPBELL RIVER,70,SERVICE BC                              ,74,32L12,58200,1461,3200000,999999999
12,Amex,20812,CAMPBELL RIVER AMEX POS,503,SERVICE BC AMEX POS                     ,74,32L12,58200,1461,3200000,23591116
12,Mastercard,20412,CAMPBELL RIVER MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32L12,58200,1461,3200000,22042747
12,Debit,20212,CAMPBELL RIVER-DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32L12,58200,1461,3200000,22042747
12,Visa,20612,CAMPBELL RIVER-VISA POS,1339,SERVICE BC VISA POS                     ,74,32L12,58200,1461,3200000,22042747
19,Visa,20619,CHETWTND-VISA POS,1339,SERVICE BC VISA POS                     ,74,32H19,58200,1461,3200000,22042754
19,Bank,20009,CHETWYND,70,SERVICE BC                              ,74,32H19,58200,1461,3200000,999999999
19,Bank,20019,CHETWYND,70,SERVICE BC                              ,74,32H19,58200,1461,3200000,999999999
19,Amex,20819,CHETWYND AMEX POS,503,SERVICE BC AMEX POS                     ,74,32H19,58200,1461,3200000,23591124
19,Debit,20219,CHETWYND DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32H19,58200,1461,3200000,22042754
19,Mastercard,20419,CHETWYND MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32H19,58200,1461,3200000,22042754
14,Bank,20014,CHILLIWACK,70,SERVICE BC                              ,74,32L14,58200,1461,3200000,999999999
14,Amex,20814,CHILLIWACK AMEX POS,503,SERVICE BC AMEX POS                     ,74,32L14,58200,1461,3200000,23591132
14,Debit,20214,CHILLIWACK DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32L14,58200,1461,3200000,22042796
14,Mastercard,20414,CHILLIWACK MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32L14,58200,1461,3200000,22042796
14,Visa,20614,CHILLIWACK-VISA POS,1339,SERVICE BC VISA POS                     ,74,32L14,58200,1461,3200000,22042796
15,Bank,20015,CLINTON,70,SERVICE BC                              ,74,32G15,58200,1461,3200000,999999999
15,Amex,20815,CLINTON AMEX POS,503,SERVICE BC AMEX POS                     ,74,32G15,58200,1461,3200000,23591157
15,Debit,20215,CLINTON DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32G15,58200,1461,3200000,22042820
15,Mastercard,20415,CLINTON MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32G15,58200,1461,3200000,22042820
15,Visa,20615,CLINTON-VISA POS,1339,SERVICE BC VISA POS                     ,74,32G15,58200,1461,3200000,22042820
16,Bank,20016,COURTENAY,70,SERVICE BC                              ,74,32L16,58200,1461,3200000,999999999
16,Amex,20816,COURTENAY AMEX POS,503,SERVICE BC AMEX POS                     ,74,32L16,58200,1461,3200000,23591173
16,Debit,20216,COURTENAY DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32L16,58200,1461,3200000,22042838
16,Mastercard,20416,COURTENAY MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32L16,58200,1461,3200000,22042838
16,Visa,20616,COURTENAY-VISA POS,1339,SERVICE BC VISA POS                     ,74,32L16,58200,1461,3200000,22042838
17,Bank,20017,CRANBROOK,70,SERVICE BC                              ,74,32F17,58200,1461,3200000,999999999
17,Amex,20817,CRANBROOK AMEX POS,503,SERVICE BC AMEX POS                     ,74,32F17,58200,1461,3200000,23591199
17,Debit,20217,CRANBROOK DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32F17,58200,1461,3200000,22042887
17,Mastercard,20417,CRANBROOK MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32F17,58200,1461,3200000,22042887
17,Visa,20617,CRANBROOK-VISA POS,1339,SERVICE BC VISA POS                     ,74,32F17,58200,1461,3200000,22042887
18,Bank,20018,CRESTON,70,SERVICE BC                              ,74,32F18,58200,1461,3200000,999999999
18,Amex,20818,CRESTON AMEX POS,503,SERVICE BC AMEX POS                     ,74,32F18,58200,1461,3200000,23591207
18,Debit,20218,CRESTON DEBIT POS,1331,SERVICE BC DEBIT POS                    ,74,32F18,58200,1461,3200000,22043067
18,Mastercard,20418,CRESTON MASTERCARD POS,315,SERVICE BC M/C POS                      ,74,32F18,58200,1461,3200000,22043067
18,Visa,20618,CRESTON-VISA POS,1339,SERVICE BC VISA POS                     ,74,32F18,58200,1461,3200000,22043067
23,Bank,20023,DAWSON CREEK,70,SERVICE BC                              ,74,32H23,58200,1461,3200000,999999999
