source_id,location_id,method,pt_location_id,description,program_code,program_desc,ministry_client,resp_code,service_line_code,stob_code,project_code,merchant_id
SBC,61,AX,20861,100 MILE HOUSE AMEX POS,503,SERVICE BC AMEX POS                     ,74,32H61,58200,1461,3200000,23591041
SBC,1,AX,20800,HAZELTON AMEX POS,503,SERVICE BC AMEX POS                     ,74,32J01,58200,1461,3200000,23591645
SBC,2,AX,20801,ASHCROFT AMEX POS,503,SERVICE BC AMEX POS                     ,74,32G02,58200,1461,3200000,23591066
SBC,3,AX,20803,ATLIN AMEX POS,503,SERVICE BC AMEX POS                     ,74,32J03,58200,1461,3200000,23591074
SBC,8,AX,20808,BELLA COOLA AMEX POS,503,SERVICE BC AMEX POS                     ,74,32H08,58200,1461,3200000,23591082
SBC,10,AX,20303,BURNABY AMEX POS,503,SERVICE BC AMEX POS                     ,74,32L10,58200,1461,3200000,28624979
SBC,11,AX,20811,BURNS LAKE AMEX POS,503,SERVICE BC AMEX POS                     ,74,32J11,58200,1461,3200000,23591090
SBC,12,AX,20812,CAMPBELL RIVER AMEX POS,503,SERVICE BC AMEX POS                     ,74,32L12,58200,1461,3200000,23591116
SBC,19,AX,20819,CHETWYND AMEX POS,503,SERVICE BC AMEX POS                     ,74,32H19,58200,1461,3200000,23591124
SBC,14,AX,20814,CHILLIWACK AMEX POS,503,SERVICE BC AMEX POS                     ,74,32L14,58200,1461,3200000,23591132
SBC,15,AX,20815,CLINTON AMEX POS,503,SERVICE BC AMEX POS                     ,74,32G15,58200,1461,3200000,23591157
SBC,16,AX,20816,COURTENAY AMEX POS,503,SERVICE BC AMEX POS                     ,74,32L16,58200,1461,3200000,23591173
SBC,17,AX,20817,CRANBROOK AMEX POS,503,SERVICE BC AMEX POS                     ,74,32F17,58200,1461,3200000,23591199
SBC,18,AX,20818,CRESTON AMEX POS,503,SERVICE BC AMEX POS                     ,74,32F18,58200,1461,3200000,23591207
SBC,23,AX,20823,DAWSON CREEK AMEX POS,503,SERVICE BC AMEX POS                     ,74,32H23,58200,1461,3200000,23591363
